"","1_the_astral","2_astral_light","3_seance","4_progression","Other_1","Other_2","Other_3","Other_4","Other_5","Other_6","Other_7","Other_8","Other_9","Other_10","Other_11","Other_12","Other_13","Other_14","Other_15","Other_16","Other_17"
"187","material.body","particular.direction","same.result","other.brain","extension.of.the.power","particular.element","water.in.the.abstract","water.in.the.abstract","perception.of.the.astral.plane","path.of.saturn","faulty.glass","outer.order","perception.of.the.astral.plane","defect.in.the.sensorium","range.of.phenomena","intellectual.vanity","front.of.any.image","direction.by.symbol","direction.by.symbol","extension.of.the.power","brilliant.white.light"
"188","body.of.the.percipient","direction.by.symbol","range.of.phenomena","brain.cell","picture.on.the.sphere","feeling.of.the.physical.effect","pose.of.mind","pose.of.mind","defect.in.the.sensorium","night.of.time","personal.element","grade.of.the.first.order","defect.in.the.sensorium","faulty.glass","astral.plane","astral.sphere","letter.tau","various.quality","various.quality","picture.on.the.sphere","white.light"
"189","physical.body","various.quality","abstract.idea","whole.consciousness","material.universe","physical.effect","pose.of.mind.cognate","pose.of.mind.cognate","faulty.glass","memory.picture","particular.direction","aspect.of.the.spirit","faulty.glass","personal.element","abstract.idea","first.order","path.of.saturn","quality.in.each.man","quality.in.each.man","material.universe","front.of.any.image"
"190","perception.of.the.astral.plane","quality.in.each.man","water.in.the.abstract","own.imagination","material.body","grey.mist","mind.cognate","mind.cognate","personal.element","same.way","direction.by.symbol","four.element","personal.element","particular.direction","water.in.the.abstract","other.member","night.of.time","planetary.symbol","planetary.symbol","material.body","letter.tau"
"191","defect.in.the.sensorium","planetary.symbol","pose.of.mind","other.man","body.of.the.percipient","form.of.the.symbol","particular.element","particular.element","particular.direction","intellectual.vanity","various.quality","five.force","particular.direction","direction.by.symbol","pose.of.mind","member.of.the.second.order","memory.picture","brilliant.white.light","astral.sphere","body.of.the.percipient","path.of.saturn"
"192","faulty.glass","brilliant.white.light","pose.of.mind.cognate","new.country","physical.body","hypersensitive.brain","feeling.of.the.physical.effect","feeling.of.the.physical.effect","direction.by.symbol","astral.sphere","quality.in.each.man","passive.condition","direction.by.symbol","various.quality","pose.of.mind.cognate","outer.order","same.way","white.light","first.order","physical.body","night.of.time"
"193","personal.element","white.light","mind.cognate","inviolable.natural.law","perception.of.the.astral.plane","brain.centre","grey.mist","physical.effect","various.quality","first.order","planetary.symbol","regardie.on.page","various.quality","quality.in.each.man","mind.cognate","grade.of.the.first.order","intellectual.vanity","front.of.any.image","other.member","perception.of.the.astral.plane","memory.picture"
"194","particular.direction","front.of.any.image","particular.element","natural.law","defect.in.the.sensorium","new.world","form.of.the.symbol","grey.mist","quality.in.each.man","outer.order","brilliant.white.light","fourth.volume","quality.in.each.man","planetary.symbol","particular.element","aspect.of.the.spirit","astral.sphere","letter.tau","member.of.the.second.order","defect.in.the.sensorium","same.way"
"195","direction.by.symbol","letter.tau","feeling.of.the.physical.effect","physical.world","faulty.glass","power.of.perception","hypersensitive.brain","form.of.the.symbol","planetary.symbol","grade.of.the.first.order","white.light","water.of.earth","planetary.symbol","brilliant.white.light","feeling.of.the.physical.effect","four.element","first.order","path.of.saturn","outer.order","faulty.glass","intellectual.vanity"
"196","various.quality","path.of.saturn","physical.effect","same.result","personal.element","extension.of.the.power","brain.centre","hypersensitive.brain","brilliant.white.light","aspect.of.the.spirit","front.of.any.image","zelator.adeptus.minor","brilliant.white.light","white.light","physical.effect","five.force","other.member","night.of.time","grade.of.the.first.order","personal.element","astral.sphere"
"197","quality.in.each.man","night.of.time","grey.mist","range.of.phenomena","particular.direction","picture.on.the.sphere","new.world","brain.centre","white.light","four.element","letter.tau","drop.of.water","white.light","front.of.any.image","grey.mist","passive.condition","member.of.the.second.order","memory.picture","aspect.of.the.spirit","particular.direction","first.order"
"198","planetary.symbol","memory.picture","form.of.the.symbol","abstract.idea","direction.by.symbol","material.universe","power.of.perception","new.world","front.of.any.image","five.force","path.of.saturn","seven.vision","front.of.any.image","letter.tau","form.of.the.symbol","regardie.on.page","outer.order","same.way","four.element","direction.by.symbol","other.member"
"199","brilliant.white.light","intellectual.vanity","hypersensitive.brain","water.in.the.abstract","various.quality","material.body","extension.of.the.power","power.of.perception","letter.tau","passive.condition","night.of.time","rainbow.colour","letter.tau","path.of.saturn","hypersensitive.brain","fourth.volume","grade.of.the.first.order","intellectual.vanity","five.force","various.quality","member.of.the.second.order"
"200","white.light","astral.sphere","brain.centre","pose.of.mind","quality.in.each.man","body.of.the.percipient","picture.on.the.sphere","extension.of.the.power","path.of.saturn","regardie.on.page","memory.picture","long.time","path.of.saturn","night.of.time","brain.centre","water.of.earth","aspect.of.the.spirit","first.order","passive.condition","quality.in.each.man","outer.order"
